rank,startDate,endDate,query,count
1,2020-03-01,2020-03-26,!nullquery,1559
2,2020-03-01,2020-03-26,wakacje kredytowe,365
3,2020-03-01,2020-03-26,odroczenie rat,352
4,2020-03-01,2020-03-26,konto,314
5,2020-03-01,2020-03-26,swift,314
6,2020-03-01,2020-03-26,profil zaufany,303
7,2020-03-01,2020-03-26,odroczenie,302
8,2020-03-01,2020-03-26,k,216
9,2020-03-01,2020-03-26,koronawirus,209
10,2020-03-01,2020-03-26,wakacje,197
11,2020-03-01,2020-03-26,wniosek,182
12,2020-03-01,2020-03-26,w,171
13,2020-03-01,2020-03-26,konto walutowe,165
14,2020-03-01,2020-03-26,p,149
15,2020-03-01,2020-03-26,ko,135
16,2020-03-01,2020-03-26,blik,129
17,2020-03-01,2020-03-26,1,128
18,2020-03-01,2020-03-26,z,126
19,2020-03-01,2020-03-26,o,120
20,2020-03-01,2020-03-26,zawieszenie,118
21,2020-03-01,2020-03-26,iban,118
22,2020-03-01,2020-03-26,od,100
23,2020-03-01,2020-03-26,kredyt,92
24,2020-03-01,2020-03-26,pr,85
25,2020-03-01,2020-03-26,koro,83
26,2020-03-01,2020-03-26,za,83
27,2020-03-01,2020-03-26,kor,82
28,2020-03-01,2020-03-26,odrocz,82
29,2020-03-01,2020-03-26,logowanie,82
30,2020-03-01,2020-03-26,odro,81
31,2020-03-01,2020-03-26,odrocze,81
32,2020-03-01,2020-03-26,odr,81
33,2020-03-01,2020-03-26,c,80
34,2020-03-01,2020-03-26,odroc,79
35,2020-03-01,2020-03-26,odroczeni,79
36,2020-03-01,2020-03-26,koron,79
37,2020-03-01,2020-03-26,korona,78
38,2020-03-01,2020-03-26,wa,77
39,2020-03-01,2020-03-26,kredyt ratalny,75
40,2020-03-01,2020-03-26,odroczen,74
41,2020-03-01,2020-03-26,wniosek o,74
42,2020-03-01,2020-03-26,kredyt samochodowy,73
43,2020-03-01,2020-03-26,wnioski,73
44,2020-03-01,2020-03-26,"""kredyt hipoteczny""",73
45,2020-03-01,2020-03-26,r,71
46,2020-03-01,2020-03-26,waka,66
47,2020-03-01,2020-03-26,wak,65
48,2020-03-01,2020-03-26,kursy walut,65
49,2020-03-01,2020-03-26,odroczenie kredytu,64
50,2020-03-01,2020-03-26,kredyt hipoteczny,62
51,2020-03-01,2020-03-26,wakacj,61
52,2020-03-01,2020-03-26,s,60
53,2020-03-01,2020-03-26,planet,60
54,2020-03-01,2020-03-26,wakac,59
55,2020-03-01,2020-03-26,koronawir,58
56,2020-03-01,2020-03-26,zawieszenie rat,58
57,2020-03-01,2020-03-26,comarch,58
